rule_id,jurisdiction,law_title,section,actor,behavior,target,applicability_notes,override_notes,risk_level,reliability_score,source_excerpt
1,New York,Consumer Data Privacy Act,§ 4.1(a),data controller,must obtain consent before collecting,personal data of consumers,applies to entities with annual revenue > $25M,does not apply to anonymized or aggregated data,high,0.92,No data controller shall collect personal data without prior informed consent of the consumer.
2,New York,Consumer Data Privacy Act,§ 4.1(b),data controller,must provide notice of data practices,consumers,,does not apply where notice is impracticable,medium,0.88,A data controller shall provide clear and conspicuous notice of its data collection practices.
3,New York,Consumer Data Privacy Act,§ 4.3,data controller,must delete personal data upon request,personal data of consumers,applies when consumer submits verified request,does not apply to data required for legal compliance,high,0.91,"Upon verified request, a data controller shall delete all personal data associated with the requesting consumer."
4,New York,Consumer Data Privacy Act,§ 5.2,data processor,must implement reasonable security measures,personal data,applies to all data processors handling NY consumer data,,medium,0.85,"Every data processor shall maintain reasonable administrative, technical, and physical safeguards."
5,New York,Consumer Data Privacy Act,§ 7.1,data controller,must conduct risk assessment,high-risk processing activities,applies annually or when processing changes significantly,,medium,0.79,Data controllers engaged in high-risk processing shall conduct and document a data protection assessment.
6,California,California Privacy Rights Act,§ 1798.100(a),business,shall not collect additional categories of personal information,consumers' personal information,applies to businesses as defined in § 1798.140(d),exempt if consumer provides explicit consent,high,0.94,A business shall not collect additional categories of personal information without providing notice.
7,California,California Privacy Rights Act,§ 1798.100(d),business,must disclose categories of personal information collected,consumers,applies at or before point of collection,,medium,0.9,"A business shall, at or before the point of collection, inform consumers of the categories of personal information to be collected."
8,California,California Privacy Rights Act,§ 1798.105(a),business,shall delete personal information upon request,consumer's personal information,applies upon verifiable consumer request,does not apply to 9 enumerated exceptions in § 1798.105(d),high,0.93,A business shall delete any personal information about the consumer which the business has collected from the consumer.
9,California,California Privacy Rights Act,§ 1798.150,business,is liable for data breaches involving nonencrypted data,consumer's nonencrypted personal information,applies when breach results from failure to maintain reasonable security,,high,0.87,Any consumer whose nonencrypted or nonredacted personal information is subject to unauthorized access may institute a civil action.
10,Texas,Texas Data Privacy and Security Act,§ 541.101,controller,shall limit collection of personal data,personal data,"applies to data that is adequate, relevant, and necessary",,medium,0.72,"A controller shall limit the collection of personal data to what is adequate, relevant, and reasonably necessary."
11,Texas,Texas Data Privacy and Security Act,§ 541.102,controller,must provide privacy notice,consumers,applies to all controllers subject to this chapter,,low,0.81,"A controller shall provide consumers with a reasonably accessible, clear, and meaningful privacy notice."
12,Texas,Texas Data Privacy and Security Act,§ 541.104,controller,must obtain consent for processing sensitive data,sensitive personal data,,exempt for data processed prior to effective date,high,0.68,A controller shall not process sensitive data without obtaining the consumer's consent.
13,Texas,Texas Data Privacy and Security Act,§ 541.107,controller,shall conduct data protection assessment,processing activities that present heightened risk,"applies to targeted advertising, sale of data, and sensitive data processing",,medium,0.64,A controller shall conduct and document a data protection assessment for each processing activity that presents a heightened risk of harm.
14,Illinois,Biometric Information Privacy Act,§ 15(a),private entity,must develop written policy for retention and destruction,biometric identifiers and biometric information,applies to all private entities in possession of biometric data,,high,0.89,A private entity in possession of biometric identifiers or biometric information must develop a written policy.
15,Illinois,Biometric Information Privacy Act,§ 15(b),private entity,must inform subject and obtain written release before collection,biometric identifiers or biometric information,applies prior to collection,does not apply to financial institutions subject to GLBA,high,0.91,"No private entity may collect, capture, purchase, receive through trade, or otherwise obtain biometric identifiers without informed written consent."
16,Illinois,Biometric Information Privacy Act,§ 15(d),private entity,shall not sell or otherwise profit from biometric data,biometric identifiers or biometric information,,,,0.86,"No private entity in possession of biometric identifiers may sell, lease, trade, or otherwise profit from the data."
17,Illinois,Biometric Information Privacy Act,§ 15(e),private entity,shall store and transmit data using reasonable standard of care,biometric identifiers and biometric information,applies in a manner that is the same as or more protective than other confidential information,,medium,0.77,"A private entity shall store, transmit, and protect from disclosure all biometric identifiers and information using the reasonable standard of care."
18,EU,General Data Protection Regulation,Art. 6(1),controller,must ensure lawful basis for processing,personal data,applies to all processing of personal data,derogations permitted under Art. 23,high,0.95,Processing shall be lawful only if and to the extent that at least one of the following applies.
19,EU,General Data Protection Regulation,Art. 17(1),data subject / controller,has right to erasure of personal data,personal data,applies where one of the grounds in Art. 17(1)(a)-(f) applies,does not apply where processing is necessary per Art. 17(3),high,0.9,The data subject shall have the right to obtain from the controller the erasure of personal data without undue delay.
20,EU,General Data Protection Regulation,Art. 25,controller,must implement data protection by design and by default,personal data processing systems,applies at the time of determination of means and at time of processing,,medium,0.82,The controller shall implement appropriate technical and organisational measures for implementing data-protection principles.
21,EU,General Data Protection Regulation,Art. 35,controller,must carry out data protection impact assessment,processing likely to result in high risk to rights and freedoms,"applies where processing uses new technologies, profiling, or large-scale sensitive data",not required where processing is on legal basis per Art. 6(1)(c) or (e) with existing impact assessment,medium,0.88,"Where a type of processing is likely to result in a high risk, the controller shall carry out an assessment of the impact."
22,EU,General Data Protection Regulation,Art. 33(1),controller,must notify supervisory authority of data breach,personal data breach,applies without undue delay and within 72 hours,not required if breach is unlikely to result in risk to rights and freedoms,high,0.91,"In the case of a personal data breach, the controller shall notify the supervisory authority within 72 hours."
23,Canada,Personal Information Protection and Electronic Documents Act,§ 6.1,organization,must obtain meaningful consent,personal information,applies to commercial activities,,high,0.74,"The knowledge and consent of the individual are required for the collection, use, or disclosure of personal information."
24,Canada,Personal Information Protection and Electronic Documents Act,§ 4.3.4,organization,may collect without knowledge or consent in limited circumstances,personal information,,permitted where collection is in the interest of the individual and consent cannot be obtained in a timely way,medium,0.58,Organizations may collect personal information without the knowledge or consent of the individual only if certain conditions are met.
25,Canada,Personal Information Protection and Electronic Documents Act,§ 4.5,organization,shall not use or disclose personal information for purposes other than those collected,personal information,applies unless new consent obtained or required by law,,medium,0.71,Personal information shall not be used or disclosed for purposes other than those for which it was collected.
26,Canada,Personal Information Protection and Electronic Documents Act,§ 4.7,organization,must protect personal information with appropriate safeguards,personal information,level of protection shall be proportionate to sensitivity,,low,0.66,Personal information shall be protected by security safeguards appropriate to the sensitivity of the information.
27,New York,Consumer Data Privacy Act,§ 6.1,data controller,must not engage in unlawful discrimination using personal data,consumers,applies to decisions that produce legal or significant effects,,high,0.61,No data controller shall process personal data in a manner that constitutes unlawful discrimination against consumers.
28,California,California Privacy Rights Act,§ 1798.185(a)(16),business,must comply with automated decision-making regulations,consumers subject to automated decision-making,applies when regulations are finalized by the Agency,,medium,0.52,The Agency shall issue regulations governing access and opt-out rights with respect to automated decision-making technology.
29,Texas,Texas Data Privacy and Security Act,§ 541.151,consumer,has right to opt out of targeted advertising,personal data processed for targeted advertising,applies to consumers who are Texas residents,,low,0.75,A consumer shall have the right to opt out of the processing of personal data for purposes of targeted advertising.
30,Illinois,Financial Data Transparency Act,§ 210.5(a),financial institution,must disclose material terms of consumer agreements,consumers of financial products,"applies to agreements entered after January 1, 2025","exempt for agreements under $5,000",medium,0.69,Every financial institution shall clearly and conspicuously disclose all material terms and conditions of consumer financial agreements.
31,Illinois,Financial Data Transparency Act,§ 210.7,financial institution,must report suspected fraud to state authority,consumer financial data,applies when institution becomes aware of unauthorized access,,high,0.73,"Upon discovery of unauthorized access to consumer financial data, a financial institution shall report such breach to the Department within 48 hours."
32,EU,General Data Protection Regulation,Art. 44,controller or processor,shall not transfer personal data to third country without adequate safeguards,personal data,applies to transfers to third countries or international organizations,permitted if adequate level of protection per Art. 45 or appropriate safeguards per Art. 46,high,0.93,Any transfer of personal data to a third country shall take place only if the conditions laid down in this Chapter are complied with.
33,California,California Privacy Rights Act,§ 1798.121(a),business,shall not sell or share sensitive personal information,consumers' sensitive personal information,applies after consumer directs business to limit use,does not apply if consumer has not exercised right to limit,high,0.84,A business that collects a consumer's sensitive personal information shall limit use to that which is necessary.
34,Texas,Texas Data Privacy and Security Act,§ 541.055,controller,must respond to consumer rights requests,authenticated consumer request,within 45 days of receipt,may extend by additional 45 days where reasonably necessary,low,0.78,A controller shall respond to a consumer request without undue delay but no later than 45 days.
35,New York,Consumer Data Privacy Act,§ 8.3,data controller or processor,may transfer data to third parties only under written agreement,personal data,applies to all third-party data sharing arrangements,,medium,0.83,Transfer of personal data to a third party shall occur only pursuant to a written contract that ensures equivalent protections.
36,Canada,Personal Information Protection and Electronic Documents Act,§ 4.9,organization,must make information about policies and practices readily available,individuals,upon request,,low,0.8,An organization shall make readily available to individuals specific information about its policies and practices.
